Data Source,World Development Indicators,,,
,,,,
Last Updated Date,3/1/23,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014
Aruba,ABW,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Africa Eastern and Southern,AFE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,18.95010894
Afghanistan,AFG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Africa Western and Central,AFW,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,41.96759888
Angola,AGO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,43.98963731
Albania,ALB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,59.95145631
Andorra,AND,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Arab World,ARB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.74428849
United Arab Emirates,ARE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,21.03973095
Argentina,ARG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.16714308
Armenia,ARM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,27.77777778
American Samoa,ASM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Antigua and Barbuda,ATG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Australia,AUS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.74450211
Austria,AUT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.62388944
Azerbaijan,AZE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.48847028
Burundi,BDI,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Belgium,BEL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,28.628663
Benin,BEN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,67.59581882
Burkina Faso,BFA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Bangladesh,BGD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,14.19624217
Bulgaria,BGR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.51103727
Bahrain,BHR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,11.45166723
"Bahamas, The",BHS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Bosnia and Herzegovina,BIH,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,13.7372803
Belarus,BLR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,20.51192756
Belize,BLZ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Bermuda,BMU,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Bolivia,BOL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,40.71038251
Brazil,BRA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,44.75232133
Barbados,BRB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Brunei Darussalam,BRN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,20.14925373
Bhutan,BTN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Botswana,BWA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,32.12209302
Central African Republic,CAF,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Canada,CAN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,31.79343908
Central Europe and the Baltics,CEB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.64268376
Switzerland,CHE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,44.83306836
Channel Islands,CHI,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Chile,CHL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,31.07769424
China,CHN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,8.598695273
Cote d'Ivoire,CIV,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,31.12299465
Cameroon,CMR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,53.80794702
"Congo, Dem. Rep.",COD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,96.78111588
"Congo, Rep.",COG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,76.51515152
