22001,"Acadia Parish, Louisiana",57237
22003,"Allen Parish, Louisiana",18714
22005,"Ascension Parish, Louisiana",124142
22007,"Assumption Parish, Louisiana",21180
22009,"Avoyelles Parish, Louisiana",36377
22011,"Beauregard Parish, Louisiana",35949
22013,"Bienville Parish, Louisiana",12836
22015,"Bossier Parish, Louisiana",125917
22017,"Caddo Parish, Louisiana",235421
22019,"Calcasieu Parish, Louisiana",209577
22021,"Caldwell Parish, Louisiana",9230
22023,"Cameron Parish, Louisiana",5610
22025,"Catahoula Parish, Louisiana",7700
22027,"Claiborne Parish, Louisiana",12446
22029,"Concordia Parish, Louisiana",17405
22031,"De Soto Parish, Louisiana",26598
22033,"East Baton Rouge Parish, Louisiana",445909
22035,"East Carroll Parish, Louisiana",5112
22037,"East Feliciana Parish, Louisiana",16459
22039,"Evangeline Parish, Louisiana",31020
22041,"Franklin Parish, Louisiana",18736
22043,"Grant Parish, Louisiana",18936
22045,"Iberia Parish, Louisiana",69576
22047,"Iberville Parish, Louisiana",27421
22049,"Jackson Parish, Louisiana",14120
22051,"Jefferson Parish, Louisiana",435830
22053,"Jefferson Davis Parish, Louisiana",31762
22055,"Lafayette Parish, Louisiana",235882
22057,"Lafourche Parish, Louisiana",95632
22059,"LaSalle Parish, Louisiana",13473
22061,"Lincoln Parish, Louisiana",45611
22063,"Livingston Parish, Louisiana",139802
22065,"Madison Parish, Louisiana",8566
22067,"Morehouse Parish, Louisiana",24964
22069,"Natchitoches Parish, Louisiana",36336
22071,"Orleans Parish, Louisiana",371945
22073,"Ouachita Parish, Louisiana",153884
22075,"Plaquemines Parish, Louisiana",23179
22077,"Pointe Coupee Parish, Louisiana",20752
22079,"Rapides Parish, Louisiana",126775
22081,"Red River Parish, Louisiana",7396
22083,"Richland Parish, Louisiana",19149
22085,"Sabine Parish, Louisiana",22085
22087,"St. Bernard Parish, Louisiana",43456
22089,"St. Charles Parish, Louisiana",51629
22091,"St. Helena Parish, Louisiana",10666
22093,"St. James Parish, Louisiana",20189
22095,"St. John the Baptist Parish, Louisiana",42088
22097,"St. Landry Parish, Louisiana",81396
22099,"St. Martin Parish, Louisiana",51720
22101,"St. Mary Parish, Louisiana",49055
22103,"St. Tammany Parish, Louisiana",260081
22105,"Tangipahoa Parish, Louisiana",128544
22107,"Tensas Parish, Louisiana",4252
22109,"Terrebonne Parish, Louisiana",108357
22111,"Union Parish, Louisiana",20670
22113,"Vermilion Parish, Louisiana",57122
22115,"Vernon Parish, Louisiana",46170
22117,"Washington Parish, Louisiana",43574
22119,"Webster Parish, Louisiana",36396
22121,"West Baton Rouge Parish, Louisiana",26142
22123,"West Carroll Parish, Louisiana",9642
22125,"West Feliciana Parish, Louisiana",11738
22127,"Winn Parish, Louisiana",12007
